,model,scientificName,height,x_meters,y_meters
270,Browning,Macaca mulatta,7.2,-0.44865209,-0.159025432
271,Browning,Macaca mulatta,7.2,-2.662533307,-0.797771297
272,Browning,Semnopithecus schistaceus,7.2,3.674162403,-0.685896973
273,Browning,Semnopithecus schistaceus,7.2,2.657893988,-0.769794865
274,Browning,Semnopithecus schistaceus,7.2,-2.11165688,-0.184003586
275,Browning,Semnopithecus schistaceus,7.2,2.253458221,-0.487146886
276,Browning,Semnopithecus schistaceus,7.2,2.015480578,-1.046705195
277,Browning,Muntiacus muntjak,8.1,0.091428325,0.520338194
278,Browning,Muntiacus muntjak,8.1,0.105848473,0.287773566
279,Browning,Sus scrofa,8.1,-0.482622103,1.067948802
280,Browning,Macaca mulatta,8.1,-1.063168064,-0.379712484
281,Browning,Axis axis,8.1,-1.063168064,-0.379712484
282,Browning,Muntiacus muntjak,8.1,1.997211292,-0.747056023
283,Browning,Macaca mulatta,7.25,0.739405928,0.023498265
284,Browning,Muntiacus muntjak,7.25,-0.638550788,0.904583897
285,Browning,Sus scrofa,7.25,-2.394817496,0.137360972
286,Browning,Muntiacus muntjak,7.25,0.530497546,0.34955999
287,Browning,Axis porcinus,7.7,-0.303019048,1.182185887
288,Browning,Axis porcinus,7.7,3.307116928,-0.171332661
289,Browning,Macaca mulatta,7.7,2.521886455,-0.190941505
290,Browning,Axis porcinus,7.7,2.851851787,-1.502922084
291,Browning,Sus scrofa,7.7,3.541528448,0.129788969
292,Browning,Axis porcinus,7.7,1.744766352,0.272746416
293,Browning,Axis porcinus,7.7,-2.153558409,-0.689693012
294,Browning,Axis porcinus,7.7,-2.195146954,-0.702032381
295,Browning,Axis porcinus,7.7,2.278762827,0.112254031
296,Browning,Macaca mulatta,7.7,-3.016380256,0.012202777
297,Browning,Rusa unicolor,7.7,0.716354618,0.982853251
298,Browning,Axis porcinus,7.7,1.655538872,-0.795665512
299,Browning,Axis porcinus,7,1.814696738,0.526547093
300,Browning,Elephas maximus,7,-3.177541277,0.125716943
301,Browning,Axis porcinus,7,0.344911426,0.208085588
302,Browning,Semnopithecus schistaceus,7.1,2.241071582,1.354998844
303,Browning,Axis axis,7.1,-0.102784245,0.314860072
304,Browning,Macaca mulatta,7.1,-0.954649267,-0.865817945
305,Browning,Axis axis,7.1,-0.954649267,-0.865817945
306,Browning,Macaca mulatta,7.1,0.937603242,-0.478792364
307,Browning,Semnopithecus schistaceus,7.8,-1.80850108,1.49522326
308,Browning,Semnopithecus schistaceus,7.8,-1.527645921,1.0106663
309,Browning,Macaca mulatta,7.8,-0.843707087,0.529868401
310,Browning,Macaca mulatta,7.8,0.140537096,0.474872449
311,Browning,Axis axis,7.8,2.08471687,0.094912663
312,Browning,Semnopithecus schistaceus,7.8,2.08471687,0.094912663
313,Browning,Semnopithecus schistaceus,7.8,-2.406108947,0.127243914
314,Browning,Semnopithecus schistaceus,7.8,3.954315514,-0.070488341
315,Browning,Axis axis,7.8,-0.55485686,0.540303324
316,Browning,Axis axis,7.8,-3.739785831,0.15669048
317,Browning,Rusa unicolor,7.8,-3.739785831,0.15669048
318,Browning,Semnopithecus schistaceus,7.8,0.706041965,1.001144632
319,Browning,Semnopithecus schistaceus,7.8,-1.566646531,0.481099808
320,Browning,Elephas maximus,7.8,3.376863548,0.364892661
321,Browning,Elephas maximus,7.8,-0.555051418,1.833755098
322,Browning,Elephas maximus,7.8,2.869676878,1.038984784
323,Browning,Sus scrofa,7.8,-3.399992748,-0.104975795
324,Browning,Sus scrofa,7.8,1.42685547,0.049939941
325,Browning,Axis axis,7.8,2.634772869,0.419316146
326,Browning,Macaca mulatta,7.7,-2.218701452,0.083953294
327,Browning,Elephas maximus,7.7,-3.583479463,0.010020916
328,Browning,Semnopithecus schistaceus,7.7,-2.864390223,-0.99387423
329,Browning,Axis axis,7.7,3.369450827,0.399035733
330,Browning,Semnopithecus schistaceus,7.7,3.369450827,0.399035733
331,Browning,Macaca mulatta,7.7,-1.427369005,1.703862046
332,Browning,Sus scrofa,7.7,-2.130401897,0.555749864
333,Browning,Semnopithecus schistaceus,7.7,3.559055674,0.500507719
334,Browning,Semnopithecus schistaceus,7.7,2.673869427,-0.585426136
335,Browning,Elephas maximus,7.7,-3.10728336,-0.508566759
336,Browning,Elephas maximus,7.7,-2.51725403,-1.328773425
337,Browning,Elephas maximus,7.7,-3.407111346,-1.024137587
338,Browning,Sus scrofa,7.7,3.493234879,0.298816463
339,Browning,Panthera tigris,7.7,-3.826942752,-0.28522348
340,Browning,Macaca mulatta,7.7,2.382790446,0.145632142
341,Browning,Panthera tigris,7.7,3.131033105,0.226376108
342,Browning,Sus scrofa,7.4,-0.386766684,-0.099592421
343,Browning,Muntiacus muntjak,7.4,-2.653448397,0.317631408
344,Browning,Sus scrofa,7.4,3.063192138,-0.494094439
345,Browning,Hystrix indica,7.4,-0.371993201,0.481789119
346,Browning,Muntiacus muntjak,7.3,0.793471934,0.887832001
347,Browning,Axis porcinus,7.3,-2.38831893,1.386508074
348,Browning,Sus scrofa,7.3,1.503268023,0.840342086
349,Browning,Axis axis,7.4,0.866924295,-2.288062257
350,Browning,Axis axis,7.4,-0.874109311,0.303012361
351,Browning,Axis axis,7.4,-2.413070637,-0.313153212
352,Browning,Axis axis,7.4,-2.11939104,-0.274502654
353,Browning,Axis axis,7.4,-2.510675678,1.109702589
354,Browning,Axis axis,7.4,2.386979718,0.912959042
355,Browning,Axis axis,7.4,-1.136196861,0.822561157
356,Browning,Axis axis,7.4,-1.844371891,-0.842109954
357,Browning,Sus scrofa,7.4,2.665171003,-0.051008943
