"","model","scientificName","height","major_axis_mod","minor_axis","profile","profile_se"
"1363","Browning","Axis porcinus",7.4,1.82826144082055,0.672723514654521,3.18435294609857,0.653181438421844
"1366","Hiperfire1","Axis axis",7.2,1.25674036952509,0.743229782324233,2.54644108562454,0.614869700284346
"1375","Hiperfire1","Axis axis",8.1,1.45377475860653,0.859754905299897,2.94567745600352,0.625957120556501
"1376","Hiperfire1","Sus scrofa",7.25,1.28081532280822,0.757467585709866,2.59522240248303,0.616947875643323
"1377","Hiperfire1","Muntiacus muntjak",7.25,1.24128826662772,0.734091488249058,2.51513161977836,0.641138706317999
"1378","Hiperfire1","Panthera tigris",7.25,1.30213302540102,0.77007476523708,2.63841690394871,0.612982748768821
"1379","Hiperfire1","Elephas maximus",7.25,1.9013372128856,1.1244410358139,3.8525405198437,0.588850218849768
"1388","Hiperfire2","Panthera tigris",7.5,1.48954679031356,0.551900858977947,2.59925187558459,0.582840217511236
"1417","Hiperfire2","Axis porcinus",7.5,1.43214611356841,0.530632992129068,2.49908797495394,0.639075863644985
"1418","Hiperfire2","Sus scrofa",7.5,1.46516086748192,0.542865485369495,2.55669855932074,0.635095264900557
"1420","Hiperfire2","Rusa unicolor",7.3,1.44840202649436,0.536656067312503,2.5274544636315,0.597079958213403
"1421","Hiperfire2","Muntiacus muntjak",7.3,1.37472409459553,0.509357217644194,2.39888683224013,0.604350364129342
"1454","Browning","Elephas maximus",8.4,3.26428766990235,1.20112092565631,5.68553480726559,0.607192072198587
"1467","Browning","Canis aureus",8.4,2.12422937402863,0.781627298220296,3.69985162643986,0.646774915713
"1480","Hiperfire2","Macaca mulatta",7.1,1.32030935650785,0.489195688723487,2.30393337998632,0.581698587214697
"1481","Hiperfire2","Axis axis",7.1,1.35845899521632,0.503330738733209,2.37050431324649,0.592804722360538
"1482","Hiperfire2","Elephas maximus",7.1,2.03866628539694,0.755358395853483,3.5574627131341,0.590039410053645
"1483","Hiperfire2","Panthera tigris",7.1,1.39618300215044,0.517308085377454,2.43633252113881,0.633260831893463
"1485","Hiperfire2","Rhinoceros unicornis",7.1,1.73729845059587,0.643696803229042,3.03157731299661,0.617531080697779
"1488","Hiperfire2","Panthera tigris",7.08,1.39167157296766,0.515636528862822,2.42846009924433,0.616549778794573
"1489","Hiperfire2","Muntiacus muntjak",7.08,1.3266429472458,0.491542385176006,2.31498546489689,0.579986584764112
"1498","Hiperfire2","Panthera tigris",7.8,1.56364443216655,0.579355217882843,2.7285518987965,0.604963738325305
"1499","Hiperfire2","Muntiacus muntjak",7.8,1.49058003211949,0.552283691557583,2.60105487749057,0.638466197715906
"1501","Hiperfire2","Axis axis",7.35,1.41454383787593,0.524111068052684,2.46837208982314,0.616978235448002
"1510","Hiperfire2","Axis axis",7.4,1.42603566266583,0.528368972546865,2.4884252679665,0.595489926251788
"1518","Hiperfire2","Macaca mulatta",7.4,1.38598826667694,0.513530773176543,2.41854275751882,0.644509257538702
"1525","Hiperfire1","Semnopithecus schistaceus",7.2,1.23221997592835,0.728728547831148,2.49675720564063,0.626073209129553
"1527","Hiperfire2","Muntiacus muntjak",7.4,1.39715148105687,0.517666922269206,2.4380225121014,0.614361843640104
"1529","Hiperfire2","Hystrix indica",7.4,1.39441461489697,0.51665286967658,2.43324669401659,0.604215036820914
"1533","Hiperfire1","Muntiacus muntjak",7.1,1.2115203790958,0.716486912867301,2.45481512666517,0.624051677214095
"1536","Hiperfire1","Axis axis",7.3,1.27724295768784,0.755354907375354,2.58798398034272,0.614134536153346
"1540","Hiperfire2","Sus scrofa",7.7,1.51335638189394,0.560722692659559,2.64079949662922,0.631804914453532
