camera_type	scientificName	cameraheight	major_axis_mod	minor_axis	profile	profile_se	contact_species	sum_effortday_all	species_traprate	effort_cameraheight	effort_cameraheight_cameratype	contact_species_cameraheight	contact_species_camereaheight_cameratype	hmean_speed	hmean_speed_se	groupsize_speed	activity_level	al_se	groupsize_al	profile_km	profile_se_km	hspeed_kmd	hspeed_se_kmd	group_size	group_size_se
Browning	Sus scrofa	7.4	1.8704077	0.68823157	2.6971186	0.536457024	630	32144	0.019599303	4107	1498	55	10	0.173376753	0.022623663	171	0.48009288	0.01292758	5447	0.002697119	5.36E-04	14.97975146	1.954684445	1.67	0.07
Browning	Muntiacus muntjak	7.4	1.812685319	0.666992155	2.613883213	0.535711457	709	32144	0.022056994	4107	1498	30	20	0.173213457	0.017168193	203	0.32769603	0.007022684	5456	0.002613883	5.36E-04	14.96564269	1.483331857	1.08	0.01
Browning	Hystrix indica	7.4	1.809134468	0.665685591	2.608762903	0.500973383	117	32144	0.003639871	4107	1498	14	1	0.307255555	0.064327724	104	0.24988632	0.01686318	624	0.002608763	5.01E-04	26.54687991	5.55791535	1.25	0.04
Browning	Macaca mulatta	7.4	1.798201997	0.6616629	2.592998335	0.524195413	1927	32144	0.05994898	4107	1498	175	82	0.292909729	0.037345279	175	0.381303675	0.004671368	18150	0.002592998	5.24E-04	25.30740062	3.226632145	1.8	0.05
Browning	Semnopithecus schistaceus	7.4	1.814061422	0.667498503	2.615867547	0.488805006	1144	32144	0.035589846	4107	1498	134	47	0.151422949	0.03034331	127	0.219931391	0.003305612	13533	0.002615868	4.89E-04	13.0829428	2.621661977	1.66	0.06
Browning	Muntiacus muntjak	7.7	1.902857517	0.700171741	2.743911074	0.506076491	709	32144	0.022056994	2048	1247	10	9	0.173213457	0.017168193	203	0.32769603	0.007022684	5456	0.002743911	5.06E-04	14.96564269	1.483331857	1.08	0.01
Browning	Axis axis	7.55	1.895619794	0.697508563	2.733474314	0.534486128	23308	32144	0.725111996	494	211	263	182	0.085787425	0.008157255	312	0.406569211	0.002412088	273000	0.002733474	5.34E-04	7.412033545	0.704786827	2.14	0.02
Browning	Semnopithecus schistaceus	7.55	1.858634157	0.6838994	2.680141209	0.505137582	1144	32144	0.035589846	494	211	53	37	0.151422949	0.03034331	127	0.219931391	0.003305612	13533	0.002680141	5.05E-04	13.0829428	2.621661977	1.66	0.06
Browning	Semnopithecus schistaceus	7.5	1.843656202	0.678388141	2.658543072	0.516970095	1144	32144	0.035589846	5595	3904	59	50	0.151422949	0.03034331	127	0.219931391	0.003305612	13533	0.002658543	5.17E-04	13.0829428	2.621661977	1.66	0.06
Browning	Muntiacus muntjak	7.1	1.726786182	0.635384876	2.490017085	0.561356617	709	32144	0.022056994	4077	1829	49	16	0.173213457	0.017168193	203	0.32769603	0.007022684	5456	0.002490017	5.61E-04	14.96564269	1.483331857	1.08	0.01
