model	scientificName	height	x_meters	y_meters
Browning	Semnopithecus schistaceus	7.8	-1.80850108	1.49522326
Browning	Semnopithecus schistaceus	7.8	-1.527645921	1.0106663
Browning	Macaca mulatta	7.8	-0.843707087	0.529868401
Browning	Macaca mulatta	7.8	0.140537096	0.474872449
Browning	Axis axis	7.8	2.08471687	0.094912663
Browning	Semnopithecus schistaceus	7.8	2.08471687	0.094912663
Browning	Semnopithecus schistaceus	7.8	-2.406108947	0.127243914
Browning	Semnopithecus schistaceus	7.8	3.954315514	-0.070488341
Browning	Axis axis	7.8	-0.55485686	0.540303324
Browning	Axis axis	7.8	-3.739785831	0.15669048
Browning	Rusa unicolor	7.8	-3.739785831	0.15669048
Browning	Semnopithecus schistaceus	7.8	0.706041965	1.001144632
Browning	Semnopithecus schistaceus	7.8	-1.566646531	0.481099808
Browning	Elephas maximus	7.8	3.376863548	0.364892661
Browning	Elephas maximus	7.8	-0.555051418	1.833755098
Browning	Elephas maximus	7.8	2.869676878	1.038984784
Browning	Sus scrofa	7.8	-3.399992748	-0.104975795
Browning	Sus scrofa	7.8	1.42685547	0.049939941
Browning	Axis axis	7.8	2.634772869	0.419316146
Browning	Macaca mulatta	7.7	-2.218701452	0.083953294
Browning	Elephas maximus	7.7	-3.583479463	0.010020916
Browning	Semnopithecus schistaceus	7.7	-2.864390223	-0.99387423
Browning	Axis axis	7.7	3.369450827	0.399035733
Browning	Semnopithecus schistaceus	7.7	3.369450827	0.399035733
Browning	Macaca mulatta	7.7	-1.427369005	1.703862046
Browning	Sus scrofa	7.7	-2.130401897	0.555749864
Browning	Semnopithecus schistaceus	7.7	3.559055674	0.500507719
Browning	Semnopithecus schistaceus	7.7	2.673869427	-0.585426136
Browning	Elephas maximus	7.7	-3.10728336	-0.508566759
Browning	Elephas maximus	7.7	-2.51725403	-1.328773425
Browning	Elephas maximus	7.7	-3.407111346	-1.024137587
Browning	Sus scrofa	7.7	3.493234879	0.298816463
Browning	Panthera tigris	7.7	-3.826942752	-0.28522348
Browning	Macaca mulatta	7.7	2.382790446	0.145632142
Browning	Panthera tigris	7.7	3.131033105	0.226376108
Browning	Sus scrofa	7.4	-0.386766684	-0.099592421
Browning	Muntiacus muntjak	7.4	-2.653448397	0.317631408
Browning	Sus scrofa	7.4	3.063192138	-0.494094439
Browning	Hystrix indica	7.4	-0.371993201	0.481789119
Browning	Muntiacus muntjak	7.3	0.793471934	0.887832001
Browning	Axis porcinus	7.3	-2.38831893	1.386508074
Browning	Sus scrofa	7.3	1.503268023	0.840342086
Browning	Axis axis	7.4	0.866924295	-2.288062257
Browning	Axis axis	7.4	-0.874109311	0.303012361
Browning	Axis axis	7.4	-2.413070637	-0.313153212
Browning	Axis axis	7.4	-2.11939104	-0.274502654
Browning	Axis axis	7.4	-2.510675678	1.109702589
Browning	Axis axis	7.4	2.386979718	0.912959042
Browning	Axis axis	7.4	-1.136196861	0.822561157
Browning	Axis axis	7.4	-1.844371891	-0.842109954
Browning	Sus scrofa	7.4	2.665171003	-0.051008943
Browning	Axis axis	7.4	-2.32555124	0.171082052
Browning	Macaca mulatta	7.4	-0.227296391	-0.027856686
Browning	Semnopithecus schistaceus	7.4	-0.80445377	-0.282027478
Browning	Axis axis	7.4	-2.419754768	-0.260587298
Browning	Axis porcinus	7.1	-2.315258028	0.078085991
Browning	Axis axis	7.1	2.160671322	0.150716352
Browning	Sus scrofa	7.1	-3.272986932	-0.281098367
Browning	Axis axis	7.7	-0.454629757	1.590039979
Browning	Macaca mulatta	7.7	-2.460403681	-0.166916669
Browning	Axis axis	7.7	-1.556983453	1.276059363
Browning	Elephas maximus	7.7	3.952617799	-0.686910349
Browning	Semnopithecus schistaceus	7.7	-1.947673184	1.530126542
